speech,noise,noise_start,noise_end,SNR,RT60,speech_RIR,noise_RIR,spk_id
dev/aac/id06403/L1_v5BU4fzs/00054,freesound/restaurant/141189__beedy__shopping-center_L_01_part_16kHz_mono,2880246,2961142,3,0.5858191141749862,dev/aac/id06403/L1_v5BU4fzs/00054_speechRIR,dev/aac/id06403/L1_v5BU4fzs/00054_noiseRIR,VOXCELEB2id06403
dev/aac/id03532/G_3VhDyEvig/00150,fma_small/033/033123,22070,92726,6,0.4590622052682727,dev/aac/id03532/G_3VhDyEvig/00150_speechRIR,dev/aac/id03532/G_3VhDyEvig/00150_noiseRIR,VOXCELEB2id03532
dev/aac/id07624/EORU15Sh3Nw/00130,fma_small/113/113789,198400,297600,4,0.3296353097297169,dev/aac/id07624/EORU15Sh3Nw/00130_speechRIR,dev/aac/id07624/EORU15Sh3Nw/00130_noiseRIR,VOXCELEB2id07624
dev/aac/id03994/u7ccuQtHgMM/00478,fma_small/095/095910,15733,86389,13,0.36198599897656003,dev/aac/id03994/u7ccuQtHgMM/00478_speechRIR,dev/aac/id03994/u7ccuQtHgMM/00478_noiseRIR,VOXCELEB2id03994
dev/aac/id03263/eJvCMfO6QPs/00122,fma_small/029/029744,412559,476047,12,0.8474397509703773,dev/aac/id03263/eJvCMfO6QPs/00122_speechRIR,dev/aac/id03263/eJvCMfO6QPs/00122_noiseRIR,VOXCELEB2id03263
dev/aac/id04358/5l_b4ncBRhc/00044,fma_small/123/123441,208650,282378,7,0.6259071320501655,dev/aac/id04358/5l_b4ncBRhc/00044_speechRIR,dev/aac/id04358/5l_b4ncBRhc/00044_noiseRIR,VOXCELEB2id04358
dev/aac/id03773/pm2XN6PfKXQ/00081,fma_small/136/136322,404667,492731,7,0.4896126615860569,dev/aac/id03773/pm2XN6PfKXQ/00081_speechRIR,dev/aac/id03773/pm2XN6PfKXQ/00081_noiseRIR,VOXCELEB2id03773
dev/aac/id04509/JyQ19azXMPw/00104,fma_small/081/081033,217089,290817,11,0.5855851241002576,dev/aac/id04509/JyQ19azXMPw/00104_speechRIR,dev/aac/id04509/JyQ19azXMPw/00104_noiseRIR,VOXCELEB2id04509
dev/aac/id08282/ObqA6lOiZdY/00140,fma_small/063/063287,99200,198400,12,0.5709407324945512,dev/aac/id08282/ObqA6lOiZdY/00140_speechRIR,dev/aac/id08282/ObqA6lOiZdY/00140_noiseRIR,VOXCELEB2id08282
dev/aac/id00414/Q2w4luQvdGA/00026,musan/noise/free-sound/noise-free-sound-0496,0,99200,12,0.6171602794619507,dev/aac/id00414/Q2w4luQvdGA/00026_speechRIR,dev/aac/id00414/Q2w4luQvdGA/00026_noiseRIR,VOXCELEB2id00414
dev/aac/id04257/nEx5nzWp9lA/00386,musan/noise/free-sound/noise-free-sound-0151,815953,879441,8,0.42169858875407346,dev/aac/id04257/nEx5nzWp9lA/00386_speechRIR,dev/aac/id04257/nEx5nzWp9lA/00386_noiseRIR,VOXCELEB2id04257
dev/aac/id03088/0Nsaya3jY5E/00005,fma_small/059/059673,100601,172281,6,0.701905074555653,dev/aac/id03088/0Nsaya3jY5E/00005_speechRIR,dev/aac/id03088/0Nsaya3jY5E/00005_noiseRIR,VOXCELEB2id03088
dev/aac/id01894/iejrtKk2zlc/00117,fma_small/038/038847,99200,198400,6,0.7931070687844707,dev/aac/id01894/iejrtKk2zlc/00117_speechRIR,dev/aac/id01894/iejrtKk2zlc/00117_noiseRIR,VOXCELEB2id01894
dev/aac/id01369/hEn2ljF1BAI/00127,freesound/city/18021__walter-odington__london_R_02_part_16kHz_mono,595200,694400,15,0.35896515751473645,dev/aac/id01369/hEn2ljF1BAI/00127_speechRIR,dev/aac/id01369/hEn2ljF1BAI/00127_noiseRIR,VOXCELEB2id01369
dev/aac/id06021/JlpYgWu3eEU/00017,fma_small/117/117943,415124,492948,7,0.7291888442854444,dev/aac/id06021/JlpYgWu3eEU/00017_speechRIR,dev/aac/id06021/JlpYgWu3eEU/00017_noiseRIR,VOXCELEB2id06021
dev/aac/id01045/qIoY_yuD13k/00219,fma_small/036/036983,105061,176741,18,0.41952028839212785,dev/aac/id01045/qIoY_yuD13k/00219_speechRIR,dev/aac/id01045/qIoY_yuD13k/00219_noiseRIR,VOXCELEB2id01045
dev/aac/id05549/_3pFGeKzf0U/00039,freesound/restaurant/141189__beedy__shopping-center_R_02_part_16kHz_mono,694400,793600,13,0.6481696821272769,dev/aac/id05549/_3pFGeKzf0U/00039_speechRIR,dev/aac/id05549/_3pFGeKzf0U/00039_noiseRIR,VOXCELEB2id05549
dev/aac/id03215/6f5B0N0u9nE/00023,fma_small/045/045392,199096,287160,12,0.8881961212113987,dev/aac/id03215/6f5B0N0u9nE/00023_speechRIR,dev/aac/id03215/6f5B0N0u9nE/00023_noiseRIR,VOXCELEB2id03215
dev/aac/id06118/IsnX0S_9ZJM/00030,fma_small/016/016743,408444,492412,10,0.7032334947947748,dev/aac/id06118/IsnX0S_9ZJM/00030_speechRIR,dev/aac/id06118/IsnX0S_9ZJM/00030_noiseRIR,VOXCELEB2id06118
dev/aac/id04198/ikqDGoIT7A0/00412,fma_small/087/087967,408673,490593,3,0.4362815523258629,dev/aac/id04198/ikqDGoIT7A0/00412_speechRIR,dev/aac/id04198/ikqDGoIT7A0/00412_noiseRIR,VOXCELEB2id04198
dev/aac/id08065/7p_glp5yoC0/00057,fma_small/117/117611,0,99200,10,0.5865591038401177,dev/aac/id08065/7p_glp5yoC0/00057_speechRIR,dev/aac/id08065/7p_glp5yoC0/00057_noiseRIR,VOXCELEB2id08065
dev/aac/id02267/tfAjAdTAqw8/00341,freesound/workshop/189817__iankath__general-atmosphere-of-metal-fabrication-workshop_L_06_part_16kHz_mono,0,99200,11,0.7995948247746998,dev/aac/id02267/tfAjAdTAqw8/00341_speechRIR,dev/aac/id02267/tfAjAdTAqw8/00341_noiseRIR,VOXCELEB2id02267
dev/aac/id00701/d0kBe_V_Gnw/00084,freesound/city/378__twistedlemon__street-bcn_R_01_part_16kHz_mono,502440,587432,12,0.8444292533945177,dev/aac/id00701/d0kBe_V_Gnw/00084_speechRIR,dev/aac/id00701/d0kBe_V_Gnw/00084_noiseRIR,VOXCELEB2id00701
dev/aac/id05987/4AO5Fh2UwFI/00005,freesound/restaurant/141189__beedy__shopping-center_L_04_part_16kHz_mono,1785600,1884800,9,0.7994356192407528,dev/aac/id05987/4AO5Fh2UwFI/00005_speechRIR,dev/aac/id05987/4AO5Fh2UwFI/00005_noiseRIR,VOXCELEB2id05987
dev/aac/id04899/Vlj2clqi_Ho/00030,fma_small/041/041020,99200,198400,4,0.4673782529537407,dev/aac/id04899/Vlj2clqi_Ho/00030_speechRIR,dev/aac/id04899/Vlj2clqi_Ho/00030_noiseRIR,VOXCELEB2id04899
dev/aac/id03313/Bt1fOqJqNk8/00083,fma_small/105/105717,217089,291841,10,0.5676065239833072,dev/aac/id03313/Bt1fOqJqNk8/00083_speechRIR,dev/aac/id03313/Bt1fOqJqNk8/00083_noiseRIR,VOXCELEB2id03313
dev/aac/id04257/n5f36V-90zw/00371,musan/noise/free-sound/noise-free-sound-0118,16874,92650,16,0.7307047680695442,dev/aac/id04257/n5f36V-90zw/00371_speechRIR,dev/aac/id04257/n5f36V-90zw/00371_noiseRIR,VOXCELEB2id04257
dev/aac/id02980/URK2EWm5mvI/00131,fma_small/093/093917,198400,297600,8,0.582974302226607,dev/aac/id02980/URK2EWm5mvI/00131_speechRIR,dev/aac/id02980/URK2EWm5mvI/00131_noiseRIR,VOXCELEB2id02980
dev/aac/id03364/pty6f4Tm9-8/00120,fma_small/055/055235,203190,276918,10,0.7904245174640918,dev/aac/id03364/pty6f4Tm9-8/00120_speechRIR,dev/aac/id03364/pty6f4Tm9-8/00120_noiseRIR,VOXCELEB2id03364
dev/aac/id08518/4Bpez-v16U4/00022,fma_small/143/143055,414643,487347,15,0.6970938339249557,dev/aac/id08518/4Bpez-v16U4/00022_speechRIR,dev/aac/id08518/4Bpez-v16U4/00022_noiseRIR,VOXCELEB2id08518
dev/aac/id06511/SoVNofn9M78/00287,freesound/crowd/4173__schluppipuppie__street01_L_01_part_16kHz_mono,1899805,1975581,4,0.849257076472363,dev/aac/id06511/SoVNofn9M78/00287_speechRIR,dev/aac/id06511/SoVNofn9M78/00287_noiseRIR,VOXCELEB2id06511
dev/aac/id05696/2YkmfO2itoo/00016,fma_small/052/052126,396800,496000,3,0.5184409514730257,dev/aac/id05696/2YkmfO2itoo/00016_speechRIR,dev/aac/id05696/2YkmfO2itoo/00016_noiseRIR,VOXCELEB2id05696
dev/aac/id03263/X6aR61nDhFk/00077,fma_small/096/096166,308351,384127,12,0.5669383499655969,dev/aac/id03263/X6aR61nDhFk/00077_speechRIR,dev/aac/id03263/X6aR61nDhFk/00077_noiseRIR,VOXCELEB2id03263
dev/aac/id03679/piotNBUjLRY/00266,fma_small/121/121866,305075,372659,16,0.8334780075942398,dev/aac/id03679/piotNBUjLRY/00266_speechRIR,dev/aac/id03679/piotNBUjLRY/00266_noiseRIR,VOXCELEB2id03679
dev/aac/id03267/NV5kRBrd3pI/00280,fma_small/109/109535,297600,396800,13,0.7241230063670034,dev/aac/id03267/NV5kRBrd3pI/00280_speechRIR,dev/aac/id03267/NV5kRBrd3pI/00280_noiseRIR,VOXCELEB2id03267
dev/aac/id09049/yqstbrExqkg/00494,fma_small/109/109072,413033,481641,19,0.6370719702795744,dev/aac/id09049/yqstbrExqkg/00494_speechRIR,dev/aac/id09049/yqstbrExqkg/00494_noiseRIR,VOXCELEB2id09049
dev/aac/id08282/ObqA6lOiZdY/00130,freesound/city/36734__sagetyrtle__citystreet3_R_01_part_16kHz_mono,1399324,1479196,8,0.5572275799878136,dev/aac/id08282/ObqA6lOiZdY/00130_speechRIR,dev/aac/id08282/ObqA6lOiZdY/00130_noiseRIR,VOXCELEB2id08282
dev/aac/id08518/QjzXtUOtFWY/00176,fma_small/019/019685,415872,494720,18,0.5273934369146005,dev/aac/id08518/QjzXtUOtFWY/00176_speechRIR,dev/aac/id08518/QjzXtUOtFWY/00176_noiseRIR,VOXCELEB2id08518
dev/aac/id03773/pm2XN6PfKXQ/00078,freesound/restaurant/141189__beedy__shopping-center_R_02_part_16kHz_mono,2303272,2368808,12,0.4680266355550889,dev/aac/id03773/pm2XN6PfKXQ/00078_speechRIR,dev/aac/id03773/pm2XN6PfKXQ/00078_noiseRIR,VOXCELEB2id03773
dev/aac/id04161/qfCUH3WvL_U/00131,musan/noise/free-sound/noise-free-sound-0674,0,99200,3,0.48096389652257565,dev/aac/id04161/qfCUH3WvL_U/00131_speechRIR,dev/aac/id04161/qfCUH3WvL_U/00131_noiseRIR,VOXCELEB2id04161
dev/aac/id03263/eJvCMfO6QPs/00199,musan/noise/free-sound/noise-free-sound-0056,127385,191897,18,0.6642580844914323,dev/aac/id03263/eJvCMfO6QPs/00199_speechRIR,dev/aac/id03263/eJvCMfO6QPs/00199_noiseRIR,VOXCELEB2id03263
dev/aac/id00316/T7kodlAL0c0/00066,fma_small/072/072076,201253,290341,10,0.5863371410279454,dev/aac/id00316/T7kodlAL0c0/00066_speechRIR,dev/aac/id00316/T7kodlAL0c0/00066_noiseRIR,VOXCELEB2id00316
dev/aac/id08065/y7R_258P5_I/00439,fma_small/091/091163,116611,190339,12,0.8617143973815216,dev/aac/id08065/y7R_258P5_I/00439_speechRIR,dev/aac/id08065/y7R_258P5_I/00439_noiseRIR,VOXCELEB2id08065
dev/aac/id03342/SgT04S6nI8g/00117,fma_small/057/057273,311284,376820,8,0.7479893468502322,dev/aac/id03342/SgT04S6nI8g/00117_speechRIR,dev/aac/id03342/SgT04S6nI8g/00117_noiseRIR,VOXCELEB2id03342
dev/aac/id06511/vKT3J_zhDj8/00482,fma_small/056/056803,0,99200,14,0.4456553278112916,dev/aac/id06511/vKT3J_zhDj8/00482_speechRIR,dev/aac/id06511/vKT3J_zhDj8/00482_noiseRIR,VOXCELEB2id06511
dev/aac/id00414/Q2w4luQvdGA/00024,fma_small/017/017607,405476,474084,7,0.7658249768919504,dev/aac/id00414/Q2w4luQvdGA/00024_speechRIR,dev/aac/id00414/Q2w4luQvdGA/00024_noiseRIR,VOXCELEB2id00414
dev/aac/id01045/qIoY_yuD13k/00233,freesound/restaurant/67191__benboncan__supermarket-cafe_L_01_part_16kHz_mono,208405,281109,6,0.8826328815782234,dev/aac/id01045/qIoY_yuD13k/00233_speechRIR,dev/aac/id01045/qIoY_yuD13k/00233_noiseRIR,VOXCELEB2id01045
dev/aac/id06118/IsnX0S_9ZJM/00031,fma_small/057/057891,198400,297600,9,0.5100107403322744,dev/aac/id06118/IsnX0S_9ZJM/00031_speechRIR,dev/aac/id06118/IsnX0S_9ZJM/00031_noiseRIR,VOXCELEB2id06118
dev/aac/id06118/IsnX0S_9ZJM/00021,fma_small/032/032339,398486,482454,8,0.802677966484566,dev/aac/id06118/IsnX0S_9ZJM/00021_speechRIR,dev/aac/id06118/IsnX0S_9ZJM/00021_noiseRIR,VOXCELEB2id06118
dev/aac/id03267/_XfuZtF21e0/00389,freesound/music/156191__rtb45__shang-yu-shopping-street_R_01_part_16kHz_mono,1587200,1686400,9,0.4555373071430016,dev/aac/id03267/_XfuZtF21e0/00389_speechRIR,dev/aac/id03267/_XfuZtF21e0/00389_noiseRIR,VOXCELEB2id03267
dev/aac/id04161/qfCUH3WvL_U/00133,freesound/music/141189__beedy__shopping-center_L_05_part_16kHz_mono,1289600,1388800,4,0.4336151266320539,dev/aac/id04161/qfCUH3WvL_U/00133_speechRIR,dev/aac/id04161/qfCUH3WvL_U/00133_noiseRIR,VOXCELEB2id04161
dev/aac/id03884/TTLr5DCKUkA/00009,fma_small/011/011261,103405,194541,7,0.5138036488859079,dev/aac/id03884/TTLr5DCKUkA/00009_speechRIR,dev/aac/id03884/TTLr5DCKUkA/00009_noiseRIR,VOXCELEB2id03884
dev/aac/id03364/pty6f4Tm9-8/00128,fma_small/061/061006,399167,488255,11,0.5238474499682598,dev/aac/id03364/pty6f4Tm9-8/00128_speechRIR,dev/aac/id03364/pty6f4Tm9-8/00128_noiseRIR,VOXCELEB2id03364
dev/aac/id03532/G_3VhDyEvig/00138,musan/noise/sound-bible/noise-sound-bible-0084,0,99200,9,0.5968316864468464,dev/aac/id03532/G_3VhDyEvig/00138_speechRIR,dev/aac/id03532/G_3VhDyEvig/00138_noiseRIR,VOXCELEB2id03532
dev/aac/id08953/LCw5GXa52s4/00131,fma_small/125/125298,305998,384846,10,0.8102032935299996,dev/aac/id08953/LCw5GXa52s4/00131_speechRIR,dev/aac/id08953/LCw5GXa52s4/00131_noiseRIR,VOXCELEB2id08953
dev/aac/id04257/nEx5nzWp9lA/00404,fma_small/011/011764,396800,496000,8,0.8859777261262454,dev/aac/id04257/nEx5nzWp9lA/00404_speechRIR,dev/aac/id04257/nEx5nzWp9lA/00404_noiseRIR,VOXCELEB2id04257
dev/aac/id03342/xEvnFvGU-Q8/00290,fma_small/113/113932,219756,293484,19,0.5406267524113262,dev/aac/id03342/xEvnFvGU-Q8/00290_speechRIR,dev/aac/id03342/xEvnFvGU-Q8/00290_noiseRIR,VOXCELEB2id03342
dev/aac/id03679/fN9xVNqMfSU/00169,musan/noise/free-sound/noise-free-sound-0244,694400,793600,19,0.3456804065282525,dev/aac/id03679/fN9xVNqMfSU/00169_speechRIR,dev/aac/id03679/fN9xVNqMfSU/00169_noiseRIR,VOXCELEB2id03679
dev/aac/id00316/T7kodlAL0c0/00067,freesound/shop/180325__zabuhailo__walk-thru-shop_L_01_part_16kHz_mono,1389413,1481573,9,0.4591551871386956,dev/aac/id00316/T7kodlAL0c0/00067_speechRIR,dev/aac/id00316/T7kodlAL0c0/00067_noiseRIR,VOXCELEB2id00316
dev/aac/id03267/_XfuZtF21e0/00397,fma_small/075/075764,0,99200,19,0.48061514797508453,dev/aac/id03267/_XfuZtF21e0/00397_speechRIR,dev/aac/id03267/_XfuZtF21e0/00397_noiseRIR,VOXCELEB2id03267
dev/aac/id04257/WHlPnXrIfCw/00187,fma_small/075/075935,109402,185178,10,0.8068287788615878,dev/aac/id04257/WHlPnXrIfCw/00187_speechRIR,dev/aac/id04257/WHlPnXrIfCw/00187_noiseRIR,VOXCELEB2id04257
dev/aac/id05696/m5LQkikLL24/00426,fma_small/130/130667,397282,490466,14,0.3480127722773414,dev/aac/id05696/m5LQkikLL24/00426_speechRIR,dev/aac/id05696/m5LQkikLL24/00426_noiseRIR,VOXCELEB2id05696
dev/aac/id03994/u7ccuQtHgMM/00484,freesound/crowd/4173__schluppipuppie__street01_L_07_part_16kHz_mono,3774916,3854788,15,0.48935256571600705,dev/aac/id03994/u7ccuQtHgMM/00484_speechRIR,dev/aac/id03994/u7ccuQtHgMM/00484_noiseRIR,VOXCELEB2id03994
dev/aac/id04358/NVOCiZ6bEgI/00139,musan/noise/free-sound/noise-free-sound-0101,509475,589347,9,0.8949013009924016,dev/aac/id04358/NVOCiZ6bEgI/00139_speechRIR,dev/aac/id04358/NVOCiZ6bEgI/00139_noiseRIR,VOXCELEB2id04358
dev/aac/id08574/1tEp5litSkw/00002,freesound/library/209987__soundscape-leuphana__20131114-typing-and-clicking-in-library-zoomh2nxy_L_01_part_16kHz_mono,894153,985289,5,0.8417820901816886,dev/aac/id08574/1tEp5litSkw/00002_speechRIR,dev/aac/id08574/1tEp5litSkw/00002_noiseRIR,VOXCELEB2id08574
dev/aac/id03267/_XfuZtF21e0/00398,fma_small/069/069823,1816,67352,5,0.5147942223962715,dev/aac/id03267/_XfuZtF21e0/00398_speechRIR,dev/aac/id03267/_XfuZtF21e0/00398_noiseRIR,VOXCELEB2id03267
dev/aac/id03313/8gDVwo1hA-U/00073,freesound/library/169657__leossom__raininfrontmywindow-beatytunder-2010-deplop60pcsoftened-part3_L_01_part_16kHz_mono,2579200,2678400,17,0.8750060495104186,dev/aac/id03313/8gDVwo1hA-U/00073_speechRIR,dev/aac/id03313/8gDVwo1hA-U/00073_noiseRIR,VOXCELEB2id03313
dev/aac/id00827/pFlr9nEk2IY/00119,fma_small/091/091102,105746,196882,10,0.5399298967029795,dev/aac/id00827/pFlr9nEk2IY/00119_speechRIR,dev/aac/id00827/pFlr9nEk2IY/00119_noiseRIR,VOXCELEB2id00827
dev/aac/id03267/_XfuZtF21e0/00384,freesound/crowd/141189__beedy__shopping-center_R_05_part_16kHz_mono,1787950,1882158,5,0.6397739765486129,dev/aac/id03267/_XfuZtF21e0/00384_speechRIR,dev/aac/id03267/_XfuZtF21e0/00384_noiseRIR,VOXCELEB2id03267
dev/aac/id01369/_1Bt5cANQ5o/00091,fma_small/146/146683,99640,185656,4,0.8215879042082301,dev/aac/id01369/_1Bt5cANQ5o/00091_speechRIR,dev/aac/id01369/_1Bt5cANQ5o/00091_noiseRIR,VOXCELEB2id01369
dev/aac/id00316/T7kodlAL0c0/00072,freesound/crowd/4173__schluppipuppie__street01_R_01_part_16kHz_mono,1992071,2070919,15,0.3737442535302088,dev/aac/id00316/T7kodlAL0c0/00072_speechRIR,dev/aac/id00316/T7kodlAL0c0/00072_noiseRIR,VOXCELEB2id00316
dev/aac/id03342/DB3IIVBqCiM/00031,fma_small/028/028692,201527,283447,3,0.6701841914387626,dev/aac/id03342/DB3IIVBqCiM/00031_speechRIR,dev/aac/id03342/DB3IIVBqCiM/00031_noiseRIR,VOXCELEB2id03342
dev/aac/id09049/yqstbrExqkg/00495,fma_small/069/069201,301909,370517,4,0.5324343240273328,dev/aac/id09049/yqstbrExqkg/00495_speechRIR,dev/aac/id09049/yqstbrExqkg/00495_noiseRIR,VOXCELEB2id09049
dev/aac/id03088/tDrjU3-bzik/00416,fma_small/104/104067,118842,188474,10,0.3365833568471343,dev/aac/id03088/tDrjU3-bzik/00416_speechRIR,dev/aac/id03088/tDrjU3-bzik/00416_noiseRIR,VOXCELEB2id03088
dev/aac/id03267/_XfuZtF21e0/00396,fma_small/108/108014,306579,385427,7,0.5573901299353827,dev/aac/id03267/_XfuZtF21e0/00396_speechRIR,dev/aac/id03267/_XfuZtF21e0/00396_noiseRIR,VOXCELEB2id03267
dev/aac/id00827/pFlr9nEk2IY/00125,fma_small/073/073365,7476,96564,7,0.6296687451431309,dev/aac/id00827/pFlr9nEk2IY/00125_speechRIR,dev/aac/id00827/pFlr9nEk2IY/00125_noiseRIR,VOXCELEB2id00827
dev/aac/id06794/2qPFqSBfiwU/00006,fma_small/048/048464,110955,178539,15,0.740225178288257,dev/aac/id06794/2qPFqSBfiwU/00006_speechRIR,dev/aac/id06794/2qPFqSBfiwU/00006_noiseRIR,VOXCELEB2id06794
dev/aac/id08282/16BnWbozlK8/00002,fma_small/006/006368,328603,396187,17,0.4236399128060139,dev/aac/id08282/16BnWbozlK8/00002_speechRIR,dev/aac/id08282/16BnWbozlK8/00002_noiseRIR,VOXCELEB2id08282
dev/aac/id03342/DB3IIVBqCiM/00042,fma_small/138/138039,305346,389314,12,0.4353575130913061,dev/aac/id03342/DB3IIVBqCiM/00042_speechRIR,dev/aac/id03342/DB3IIVBqCiM/00042_noiseRIR,VOXCELEB2id03342
dev/aac/id08065/LQ4j_6vrdmQ/00132,fma_small/032/032327,228174,293710,10,0.40905647096844105,dev/aac/id08065/LQ4j_6vrdmQ/00132_speechRIR,dev/aac/id08065/LQ4j_6vrdmQ/00132_noiseRIR,VOXCELEB2id08065
dev/aac/id03267/_XfuZtF21e0/00386,freesound/restaurant/67191__benboncan__supermarket-cafe_R_03_part_16kHz_mono,1512391,1579975,15,0.45992968803050593,dev/aac/id03267/_XfuZtF21e0/00386_speechRIR,dev/aac/id03267/_XfuZtF21e0/00386_noiseRIR,VOXCELEB2id03267
dev/aac/id01045/qIoY_yuD13k/00232,fma_small/028/028376,316614,390342,9,0.6562607808982949,dev/aac/id01045/qIoY_yuD13k/00232_speechRIR,dev/aac/id01045/qIoY_yuD13k/00232_noiseRIR,VOXCELEB2id01045
dev/aac/id03342/DB3IIVBqCiM/00030,fma_small/134/134943,210978,279586,4,0.326957875010536,dev/aac/id03342/DB3IIVBqCiM/00030_speechRIR,dev/aac/id03342/DB3IIVBqCiM/00030_noiseRIR,VOXCELEB2id03342
dev/aac/id06403/S-BcIRIXBm0/00085,fma_small/099/099261,209965,292909,13,0.6348336847696139,dev/aac/id06403/S-BcIRIXBm0/00085_speechRIR,dev/aac/id06403/S-BcIRIXBm0/00085_noiseRIR,VOXCELEB2id06403
dev/aac/id06105/YbC2krodsco/00079,fma_small/047/047835,198400,297600,17,0.41405526407915966,dev/aac/id06105/YbC2krodsco/00079_speechRIR,dev/aac/id06105/YbC2krodsco/00079_noiseRIR,VOXCELEB2id06105
dev/aac/id03342/xEvnFvGU-Q8/00286,freesound/workshop/164208__abcopen__carpentry-hammering-nail-stereo_L_01_part_16kHz_mono,301743,369327,14,0.40692017029084276,dev/aac/id03342/xEvnFvGU-Q8/00286_speechRIR,dev/aac/id03342/xEvnFvGU-Q8/00286_noiseRIR,VOXCELEB2id03342
dev/aac/id00701/d0kBe_V_Gnw/00081,fma_small/024/024423,110494,194462,14,0.6066582878848952,dev/aac/id00701/d0kBe_V_Gnw/00081_speechRIR,dev/aac/id00701/d0kBe_V_Gnw/00081_noiseRIR,VOXCELEB2id00701
dev/aac/id02980/7xiPIUCCoks/00031,fma_small/138/138015,224235,291819,11,0.37296867971296693,dev/aac/id02980/7xiPIUCCoks/00031_speechRIR,dev/aac/id02980/7xiPIUCCoks/00031_noiseRIR,VOXCELEB2id02980
dev/aac/id04257/WHlPnXrIfCw/00235,fma_small/044/044854,1410,80258,12,0.412590897313422,dev/aac/id04257/WHlPnXrIfCw/00235_speechRIR,dev/aac/id04257/WHlPnXrIfCw/00235_noiseRIR,VOXCELEB2id04257
dev/aac/id03679/piotNBUjLRY/00212,fma_small/140/140922,409111,493079,9,0.5305297266169207,dev/aac/id03679/piotNBUjLRY/00212_speechRIR,dev/aac/id03679/piotNBUjLRY/00212_noiseRIR,VOXCELEB2id03679
dev/aac/id04161/qfCUH3WvL_U/00134,fma_small/142/142539,297600,396800,10,0.40865855425940156,dev/aac/id04161/qfCUH3WvL_U/00134_speechRIR,dev/aac/id04161/qfCUH3WvL_U/00134_noiseRIR,VOXCELEB2id04161
dev/aac/id00701/d0kBe_V_Gnw/00082,fma_small/066/066058,6270,78974,13,0.5749677719247929,dev/aac/id00701/d0kBe_V_Gnw/00082_speechRIR,dev/aac/id00701/d0kBe_V_Gnw/00082_noiseRIR,VOXCELEB2id00701
